1220741103	20240116	202401	2024	2024.0438											AGR	FARMER						AGR			1	140	140	14	3	-6.5	10	1	10	-4.39560439560439	0								0								0								20250115141500	https://timesofindia.indiatimes.com/city/bhubaneswar/ganjam-farmer-group-seeks-immediate-relief-for-crop-loss/articleshow/117269664.cms
1220741104	20240116	202401	2024	2024.0438											GBR	UNITED KINGDOM	GBR								1	173	173	17	4	-5.0	4	1	4	-3.88692579505301	0								4	Maryport, Cumbria, United Kingdom	UK	UKC9	40169	54.7	-3.5	-2602708	4	Maryport, Cumbria, United Kingdom	UK	UKC9	40169	54.7	-3.5	-2602708	20250115141500	https://www.newsandstar.co.uk/news/24857738.legal-action-threat-maryport-just-stop-oil-protesters-cleared/
1220741105	20240116	202401	2024	2024.0438											HTI	HAITI	HTI								1	063	063	06	2	7.4	8	1	8	-6.46766169154224	0								5	Artibonite, Artibonite, Haiti	HA	HA06	17168	19.3333	-72.5	-57621	5	Artibonite, Artibonite, Haiti	HA	HA06	17168	19.3333	-72.5	-57621	20250115141500	https://human-wrongs-watch.net/2025/01/15/haiti-displacement-triples-surpassing-one-million-as-humanitarian-crisis-worsens/
1220741106	20240116	202401	2024	2024.0438											SOM	SOMALIA	SOM								1	042	042	04	1	1.9	5	1	5	-4.96894409937888	0								4	Puntland, Somalia (general), Somalia	SO	SO00	25718	9	49	11432105	4	Puntland, Somalia (general), Somalia	SO	SO00	25718	9	49	11432105	20250115141500	https://www.aljazeera.com/features/2025/1/15/were-not-pirates-say-hijackers-aboard-chinese-ship-off-somalia-coast
1220741107	20240116	202401	2024	2024.0438											SOM	SOMALIA	SOM								1	042	042	04	1	1.9	1	1	1	-4.96894409937888	0								4	Puntland, Somalia (general), Somalia	SO	SO00	25718	9	49	11432105	4	Wang Yu, Shaanxi, China	CH	CH26	13218	34.4961	108.618	9207141	20250115141500	https://www.aljazeera.com/features/2025/1/15/were-not-pirates-say-hijackers-aboard-chinese-ship-off-somalia-coast
1220741108	20240116	202401	2024	2024.0438	COP	DETECTIVE						COP			BGD	DHAKA	BGD								1	173	173	17	4	-5.0	10	1	10	-7.30337078651685	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20250115141500	https://www.bssnews.net/others/238679
1220741109	20240116	202401	2024	2024.0438	CVL	VILLAGE						CVL													1	012	012	01	1	-0.4	4	1	4	-4.79846449136277	4	Jammu, Jammu and Kashmir, India	IN	IN12	72851	32.7333	74.8667	-2098228	0								4	Jammu, Jammu and Kashmir, India	IN	IN12	72851	32.7333	74.8667	-2098228	20250115141500	https://www.rediff.com/news/report/rajouri-deaths-outbreak-ruled-out-but-mystery-remains/20250115.htm
1220741110	20240116	202401	2024	2024.0438	EDU	PROFESSOR						EDU			GBR	WALES	GBR								0	071	071	07	2	7.4	4	1	4	0.16194331983806	4	Wrexham, Wrexham, United Kingdom	UK	UKZ4	40179	53.05	-3	-2612187	4	Wrexham, Wrexham, United Kingdom	UK	UKZ4	40179	53.05	-3	-2612187	4	Wrexham, Wrexham, United Kingdom	UK	UKZ4	40179	53.05	-3	-2612187	20250115141500	https://www.walesonline.co.uk/news/wales-news/uk-government-letter-reveals-promise-30787187
1220741111	20240116	202401	2024	2024.0438	EDU	PROFESSOR						EDU			GBR	WALES	GBR								0	100	100	10	3	-5.0	4	1	4	0.16194331983806	4	Wrexham, Wrexham, United Kingdom	UK	UKZ4	40179	53.05	-3	-2612187	4	Wrexham, Wrexham, United Kingdom	UK	UKZ4	40179	53.05	-3	-2612187	4	Wrexham, Wrexham, United Kingdom	UK	UKZ4	40179	53.05	-3	-2612187	20250115141500	https://www.walesonline.co.uk/news/wales-news/uk-government-letter-reveals-promise-30787187
1220741112	20240116	202401	2024	2024.0438	FRA	PARIS	FRA								IGOWAFWAS	ECONOMIC COMMUNITY OF WEST AFRICAN STATES	WAF	WAS				IGO			1	0874	087	08	2	10.0	7	1	7	-6.53120464441219	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Bamako, Bamako, Mali	ML	ML01	81878	12.65	-8	-1064708	4	Bamako, Bamako, Mali	ML	ML01	81878	12.65	-8	-1064708	20250115141500	https://www.modernghana.com/news/1371989/fears-for-the-future-in-mali-niger-and-burkina.html
