1226043878	20240213	202402	2024	2024.1178	CVL	COMMUNITY						CVL			USA	FLORIDA	USA								0	071	071	07	2	7.4	5	1	5	4.05616224648986	3	Miami, Florida, United States	US	USFL	FL086	25.7743	-80.1937	295004	3	Miami, Florida, United States	US	USFL	FL086	25.7743	-80.1937	295004	3	Miami, Florida, United States	US	USFL	FL086	25.7743	-80.1937	295004	20250212103000	https://communitynewspapers.com/aventura-news/dentistry-from-our-hearts-celebrating-13-years/
1226043879	20240213	202402	2024	2024.1178	EDU	SCHOOL						EDU													1	020	020	02	1	3.0	2	1	2	0.614754098360661	3	Rome High School, Georgia, United States	US	USGA	GA115	34.2868	-85.1525	2545749	0								3	Rome High School, Georgia, United States	US	USGA		34.2868	-85.1525	2545749	20250212103000	https://coosavalleynews.com/2025/02/lutzie-43-foundation-partners-with-georgia-dot-to-bring-safe-driving-summit-to-rome-high-school/
1226043880	20240213	202402	2024	2024.1178	GBR	UNITED KINGDOM	GBR																		1	110	110	11	3	-2.0	4	1	4	-1.14613180515759	4	Godalming, Surrey, United Kingdom	UK	UKN7	40133	51.1833	-0.6	-2597247	0								4	Godalming, Surrey, United Kingdom	UK	UKN7	40133	51.1833	-0.6	-2597247	20250212103000	https://www.express.co.uk/news/politics/2013116/kemi-badenoch-cannot-afford-even
1226043881	20240213	202402	2024	2024.1178	JUD	HIGH COURT						JUD													1	173	173	17	4	-5.0	6	1	6	-3.84105960264901	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20250212103000	https://www.livelaw.in/supreme-court/pmla-accused-cant-be-kept-in-custody-if-order-taking-cognizance-of-ed-complaint-has-been-quashed-supreme-court-283699
1226043882	20240213	202402	2024	2024.1178	JUD	HIGH COURT						JUD			ARE	UNITED ARAB EMIRATES	ARE								1	173	173	17	4	-5.0	4	1	4	-3.84105960264901	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20250212103000	https://www.livelaw.in/supreme-court/pmla-accused-cant-be-kept-in-custody-if-order-taking-cognizance-of-ed-complaint-has-been-quashed-supreme-court-283699
1226043883	20240213	202402	2024	2024.1178	USA	UNITED STATES	USA								EDU	STUDENT						EDU			1	020	020	02	1	3.0	4	1	4	0.614754098360661	3	Madison County, Georgia, United States	US	USGA	GA195	34.1334	-83.2165	1688004	4	Rome, Lazio, Italy	IT	IT07	18350	41.9	12.4833	-126693	3	Madison County, Georgia, United States	US	USGA		34.1334	-83.2165	1688004	20250212103000	https://coosavalleynews.com/2025/02/lutzie-43-foundation-partners-with-georgia-dot-to-bring-safe-driving-summit-to-rome-high-school/
1226043884	20240213	202402	2024	2024.1178	USA	UNITED STATES	USA								EDU	STUDENT						EDU			1	020	020	02	1	3.0	4	1	4	0.614754098360661	3	Madison County, Georgia, United States	US	USGA	GA195	34.1334	-83.2165	1688004	3	Madison County, Georgia, United States	US	USGA		34.1334	-83.2165	1688004	3	Madison County, Georgia, United States	US	USGA		34.1334	-83.2165	1688004	20250212103000	https://coosavalleynews.com/2025/02/lutzie-43-foundation-partners-with-georgia-dot-to-bring-safe-driving-summit-to-rome-high-school/
1226043885	20250113	202501	2025	2025.0356											bte	BETI			bte						1	042	042	04	1	1.9	10	1	10	2.33766233766234	0								4	Barcelona, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25806	41.3833	2.18333	-372490	4	Barcelona, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25806	41.3833	2.18333	-372490	20250212103000	https://thehardtackle.com/transfer-news/2025/02/12/manchester-city-retain-sergi-altimira-interest/
1226043886	20250113	202501	2025	2025.0356	DZA	CONSTANTINE	DZA								GOV	PRIME MINISTER						GOV			1	025	025	02	1	-0.3	6	1	6	-2.43055555555555	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	20250212103000	https://www.gdnonline.com:443/Details/1344734
1226043887	20250113	202501	2025	2025.0356	GRC	GREECE	GRC								GOV	PRIME MINISTER						GOV			1	025	025	02	1	-0.3	2	1	2	-2.43055555555555	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	20250212103000	https://www.gdnonline.com:443/Details/1344734
1226043888	20250113	202501	2025	2025.0356	GRC	GREECE	GRC								GRCGOV	GREECE	GRC					GOV			1	025	025	02	1	-0.3	2	1	2	-2.43055555555555	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	4	Athens, AttikíR, Greece	GR	GR35	16716	37.9833	23.7333	-814876	20250212103000	https://www.gdnonline.com:443/Details/1344734
1226043889	20250113	202501	2025	2025.0356	bte	BETI			bte																1	043	043	04	1	2.8	10	1	10	2.33766233766234	4	Barcelona, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25806	41.3833	2.18333	-372490	0								4	Barcelona, Comunidad Autonoma de Cataluna, Spain	SP	SP56	25806	41.3833	2.18333	-372490	20250212103000	https://thehardtackle.com/transfer-news/2025/02/12/manchester-city-retain-sergi-altimira-interest/
