1208591109	20231108	202311	2023	2023.8438	CHN	BEIJING	CHN								CHNGOV	CHINESE	CHN					GOV			1	028	028	02	1	4.0	10	1	10	1.93798449612403	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20241107110000	https://thesun.my/malaysia-news/pm-anwar-to-invite-chinese-president-xi-jinping-to-attend-2025-asean-summit-PF13255974
1208591110	20231108	202311	2023	2023.8438	CHN	CHINA	CHN								IGOSEAASN	ASEAN	SEA	ASN				IGO			1	042	042	04	1	1.9	4	1	4	1.93798449612403	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20241107110000	https://thesun.my/malaysia-news/pm-anwar-to-invite-chinese-president-xi-jinping-to-attend-2025-asean-summit-PF13255974
1208591111	20231108	202311	2023	2023.8438	GOV	MINIST OF ENERGY						GOV													1	013	013	01	1	0.4	6	1	6	2.50783699059562	4	Bali, Jawa Timur, Indonesia	ID	ID08	18585	-7.1046	112.337	10205777	0								4	Bali, Jawa Timur, Indonesia	ID	ID08	18585	-7.1046	112.337	10205777	20241107110000	https://en.tempo.co/read/1938295/gapki-chairman-palm-oil-productivity-falling-ahead-of-b40-policy-implementation
1208591112	20231108	202311	2023	2023.8438	GOV	PRESIDENT						GOV													1	080	080	08	2	5.0	10	1	10	-1.71821305841925	4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	0								4	Lagos, Lagos, Nigeria	NI	NI05	191416	6.45306	3.39583	-2017355	20241107110000	https://www.marketscreener.com/news/latest/Nigeria-s-Lagos-seeks-investors-for-4-000-MW-gas-fired-power-plants-48288105/
1208591113	20231108	202311	2023	2023.8438	GOV	MINIST						GOV			CAN	CANADA	CAN								0	112	112	11	3	-2.0	2	1	2	-5.58766859344894	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20241107110000	https://www.firstpost.com/world/india-cancels-consular-camps-in-toronto-after-canada-refuses-to-provide-security-13833052.html
1208591114	20231108	202311	2023	2023.8438	GOV	MINIST						GOV			CAN	CANADA	CAN								0	112	112	11	3	-2.0	7	1	7	-5.58766859344894	1	India	IN	IN		20	77	IN	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	20241107110000	https://www.firstpost.com/world/india-cancels-consular-camps-in-toronto-after-canada-refuses-to-provide-security-13833052.html
1208591115	20231108	202311	2023	2023.8438	GOV	MINIST						GOV			CAN	CANADA	CAN								0	112	112	11	3	-2.0	1	1	1	-5.58766859344894	1	India	IN	IN		20	77	IN	4	Toronto, Ontario, Canada	CA	CA08	12686	43.6667	-79.4167	-574890	1	India	IN	IN		20	77	IN	20241107110000	https://www.firstpost.com/world/india-cancels-consular-camps-in-toronto-after-canada-refuses-to-provide-security-13833052.html
1208591116	20231108	202311	2023	2023.8438	GOV	PRIME MINISTER						GOV			IGOSEAASN	ASEAN	SEA	ASN				IGO			1	042	042	04	1	1.9	6	1	6	1.93798449612403	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20241107110000	https://thesun.my/malaysia-news/pm-anwar-to-invite-chinese-president-xi-jinping-to-attend-2025-asean-summit-PF13255974
1208591117	20231108	202311	2023	2023.8438	HUN	HUNGARY	HUN																		1	015	015	01	1	0.0	1	1	1	-3.97680198840099	4	Kecskemet, Bá-Kiskun, Hungary	HU	HU01	17511	46.9	19.7833	-857481	0								4	Sukosd, Bá-Kiskun, Hungary	HU	HU01	17517	46.2818	18.9952	-866504	20241107110000	https://www.leinsterleader.ie/news/home/1649651/man-arrested-in-kildare-is-later-jailed-for-smuggling-8-4m-of-heroin-on-airplane.html
1208591118	20231108	202311	2023	2023.8438	HUN	HUNGARY	HUN																		1	015	015	01	1	0.0	1	1	1	-3.97680198840099	4	Sukosd, Bá-Kiskun, Hungary	HU	HU01	17517	46.2818	18.9952	-866504	0								4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20241107110000	https://www.leinsterleader.ie/news/home/1649651/man-arrested-in-kildare-is-later-jailed-for-smuggling-8-4m-of-heroin-on-airplane.html
