1205595879	20141025	201410	2014	2014.8082	BUS	INVESTOR						BUS			THA	THAILAND	THA								0	020	020	02	1	3.0	10	1	10	2.26628895184136	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	4	Bangkok, Krung Thep Mahanakhon, Thailand	TH	TH40	26423	13.75	100.517	-3250083	20241022151500	https://www.bangkokpost.com/business/general/2888438/finance-minister-dismisses-fears-of-thai-credit-downgrade
1205595880	20231023	202310	2023	2023.8027											USA	UNITED STATES	USA								0	1124	112	11	3	-2.0	2	1	2	7.67195767195768	0								3	Houston, Texas, United States	US	USTX	TX201	29.7633	-95.3633	1380948	3	Houston, Texas, United States	US	USTX	TX201	29.7633	-95.3633	1380948	20241022151500	https://www.chattanoogan.com/2024/10/22/494355/Houston-Museum-Of-Decorative-Arts.aspx
1205595881	20231023	202310	2023	2023.8027	CHN	CHINA	CHN								VNM	VIETNAM	VNM								1	017	017	01	1	0.0	2	1	2	5.42986425339367	4	Lin Jian, Shanghai, China	CH	CH23	13243	30.9348	121.026	10861193	4	Lin Jian, Shanghai, China	CH	CH23	13243	30.9348	121.026	10861193	4	Lin Jian, Shanghai, China	CH	CH23	13243	30.9348	121.026	10861193	20241022151500	https://english.news.cn/20241022/1bb1b9536fdc4d738f5ead4be6c6eee5/c.html
1205595882	20231023	202310	2023	2023.8027	CHN	CHINA	CHN								VNM	VIETNAM	VNM								1	017	017	01	1	0.0	2	1	2	5.42986425339367	4	Lin Jian, Shanghai, China	CH	CH23	13243	30.9348	121.026	10861193	4	Lin Jian, Shanghai, China	CH	CH23	13243	30.9348	121.026	10861193	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	20241022151500	https://english.news.cn/20241022/1bb1b9536fdc4d738f5ead4be6c6eee5/c.html
1205595883	20231023	202310	2023	2023.8027	CHN	CHINA	CHN								VNM	VIETNAM	VNM								1	017	017	01	1	0.0	6	1	6	5.42986425339367	4	Lin Jian, Shanghai, China	CH	CH23	13243	30.9348	121.026	10861193	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	4	Lin Jian, Shanghai, China	CH	CH23	13243	30.9348	121.026	10861193	20241022151500	https://english.news.cn/20241022/1bb1b9536fdc4d738f5ead4be6c6eee5/c.html
1205595884	20231023	202310	2023	2023.8027	CHN	CHINA	CHN								VNM	VIETNAM	VNM								1	057	057	05	1	8.0	4	1	4	5.42986425339367	4	Lin Jian, Shanghai, China	CH	CH23	13243	30.9348	121.026	10861193	4	Lin Jian, Shanghai, China	CH	CH23	13243	30.9348	121.026	10861193	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	20241022151500	https://english.news.cn/20241022/1bb1b9536fdc4d738f5ead4be6c6eee5/c.html
1205595885	20231023	202310	2023	2023.8027	CHN	CHINA	CHN								VNM	VIETNAM	VNM								1	057	057	05	1	8.0	6	1	6	5.42986425339367	4	Lin Jian, Shanghai, China	CH	CH23	13243	30.9348	121.026	10861193	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	1	Vietnam, Republic Of	VM	VM		16.166667	107.833333	VM	20241022151500	https://english.news.cn/20241022/1bb1b9536fdc4d738f5ead4be6c6eee5/c.html
1205595886	20231023	202310	2023	2023.8027	IRN	IRAN	IRN								IRNMIL	IRAN	IRN					MIL			0	017	017	01	1	0.0	2	1	2	2.01216658867571	4	Tabriz, Az¯arbayjan-e Sharqi, Iran	IR	IR33	41121	38.08	46.2919	-3086571	4	Tabriz, Az¯arbayjan-e Sharqi, Iran	IR	IR33	41121	38.08	46.2919	-3086571	4	Tabriz, Az¯arbayjan-e Sharqi, Iran	IR	IR33	41121	38.08	46.2919	-3086571	20241022151500	https://www.presstv.ir/Detail/2024/10/22/735754/Compassion-across-borders-Iranians-aid-efforts-bring-hope-to-war-torn-Lebanon-Palestine
1205595887	20231023	202310	2023	2023.8027	IRN	IRAN	IRN								MIL	COMMANDER						MIL			0	017	017	01	1	0.0	2	1	2	2.01216658867571	4	Tabriz, Az¯arbayjan-e Sharqi, Iran	IR	IR33	41121	38.08	46.2919	-3086571	4	Tabriz, Az¯arbayjan-e Sharqi, Iran	IR	IR33	41121	38.08	46.2919	-3086571	4	Tabriz, Az¯arbayjan-e Sharqi, Iran	IR	IR33	41121	38.08	46.2919	-3086571	20241022151500	https://www.presstv.ir/Detail/2024/10/22/735754/Compassion-across-borders-Iranians-aid-efforts-bring-hope-to-war-torn-Lebanon-Palestine
1205595888	20231023	202310	2023	2023.8027	IRN	IRAN	IRN								UAF	TERRORIST						UAF			0	070	070	07	2	7.0	4	1	4	2.01216658867571	4	Tabriz, Az¯arbayjan-e Sharqi, Iran	IR	IR33	41121	38.08	46.2919	-3086571	4	Tabriz, Az¯arbayjan-e Sharqi, Iran	IR	IR33	41121	38.08	46.2919	-3086571	4	Tabriz, Az¯arbayjan-e Sharqi, Iran	IR	IR33	41121	38.08	46.2919	-3086571	20241022151500	https://www.presstv.ir/Detail/2024/10/22/735754/Compassion-across-borders-Iranians-aid-efforts-bring-hope-to-war-torn-Lebanon-Palestine
