1218547766	20240103	202401	2024	2024.0082											USA	CLEVELAND	USA								1	042	042	04	1	1.9	3	1	3	1.04166666666667	0								3	Cleveland, Ohio, United States	US	USOH	OH035	41.4995	-81.6954	1066654	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20250102143000	https://www.ideastream.org/arts-culture/2025-01-02/5-things-to-do-in-neo-first-friday-in-canton-vintage-market-in-cleveland-and-more
1218547767	20240103	202401	2024	2024.0082	AFR	AFRICA	AFR																		0	010	010	01	1	0.0	5	1	5	0	1	India	IN	IN		20	77	IN	0								1	India	IN	IN		20	77	IN	20250102143000	https://www.moneycontrol.com/news/business/markets/varun-beverages-flush-with-funds-after-qip-invests-rs-412-8-crore-in-south-african-subsidiary-bevco-12902331.html
1218547768	20240103	202401	2024	2024.0082	USA	CLEVELAND	USA																		1	043	043	04	1	2.8	2	1	2	1.04166666666667	3	Cleveland Museum Of Natural History, Ohio, United States	US	USOH	OH035	41.5117	-81.6135	1063959	0								3	Lake Erie, Ohio, United States	US	USOH		42.149	-81.2414	1075813	20250102143000	https://www.ideastream.org/arts-culture/2025-01-02/5-things-to-do-in-neo-first-friday-in-canton-vintage-market-in-cleveland-and-more
1218547769	20240103	202401	2024	2024.0082	USA	UNITED STATES	USA																		1	043	043	04	1	2.8	4	1	4	1.04166666666667	3	Ashtabula County, Ohio, United States	US	USOH	OH007	41.7001	-80.7665	1074017	0								3	Lake Erie, Ohio, United States	US	USOH		42.149	-81.2414	1075813	20250102143000	https://www.ideastream.org/arts-culture/2025-01-02/5-things-to-do-in-neo-first-friday-in-canton-vintage-market-in-cleveland-and-more
1218547770	20240103	202401	2024	2024.0082	USA	UNITED STATES	USA																		1	043	043	04	1	2.8	2	1	2	1.04166666666667	3	Lake Erie, Ohio, United States	US	USOH	OH085	42.149	-81.2414	1075813	0								3	Lake Erie, Ohio, United States	US	USOH		42.149	-81.2414	1075813	20250102143000	https://www.ideastream.org/arts-culture/2025-01-02/5-things-to-do-in-neo-first-friday-in-canton-vintage-market-in-cleveland-and-more
1218547771	20241203	202412	2024	2024.9123											GBR	BRITISH	GBR								1	051	051	05	1	3.4	10	1	10	0.45523520485585	0								4	Saigon, H? Chíinh, Vietnam, Republic Of	VM	VM20	74101	10.75	106.667	-3730078	4	Saigon, H? Chíinh, Vietnam, Republic Of	VM	VM20	74101	10.75	106.667	-3730078	20250102143000	https://pressgazette.co.uk/news/new-year-honours-2025-computer-weekly/
1218547772	20241203	202412	2024	2024.9123	GOV	PRESIDENT						GOV			KORGOV	SOUTH KOREA	KOR					GOV			0	020	020	02	1	3.0	1	1	1	0.859291084855	1	South Korea	KS	KS		37	127.5	KS	1	South Korea	KS	KS		37	127.5	KS	1	South Korea	KS	KS		37	127.5	KS	20250102143000	https://www.hellenicshippingnews.com/samsung-heavy-industries-struggles-as-other-shipbuilders-thrive-amid-trumps-policies/
1218547773	20241203	202412	2024	2024.9123	USA	THE US	USA								TWN	TAIWAN	TWN								0	072	072	07	2	8.3	10	1	10	-2.96495956873315	1	Taiwan	TW	TW		24	121	TW	1	Taiwan	TW	TW		24	121	TW	1	Taiwan	TW	TW		24	121	TW	20250102143000	https://www.yahoo.com/news/china-hits-lockheed-martin-raytheon-114019742.html
1218547774	20241226	202412	2024	2024.9753	BUS	INVESTOR						BUS													0	073	073	07	2	7.4	10	1	10	-2.34899328859061	1	Germany	GM	GM		51.5	10.5	GM	0								1	Germany	GM	GM		51.5	10.5	GM	20250102143000	https://evertiq.com/design/57010
1218547775	20241226	202412	2024	2024.9753	GOV	PRESIDENT						GOV			EDU	PROFESSOR						EDU			1	051	051	05	1	3.4	6	1	6	6.66666666666666	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20250102143000	https://iafrica.com/tributes-pour-in-for-professor-sibusiso-bengu-south-africas-first-democratic-education-minister/
