1218680480	20150106	201501	2015	2015.0164	GBR	UNITED KINGDOM	GBR								FRA	FRANCE	FRA								0	030	030	03	1	4.0	6	1	6	3.06748466257668	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	1	France	FR	FR		46	2	FR	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20250103111500	https://www.theartnewspaper.com/2025/01/03/saudi-arabian-festival-to-feature-taster-james-turrell-show-and-performance-by-manal-aldowayan
1218680481	20150106	201501	2015	2015.0164	GBR	UNITED KINGDOM	GBR								FRA	FRANCE	FRA								0	030	030	03	1	4.0	2	1	2	3.06748466257668	4	Whitechapel, Tower Hamlets, United Kingdom	UK	UKO5	40110	51.5167	-0.05	-2611557	1	France	FR	FR		46	2	FR	4	Whitechapel, Tower Hamlets, United Kingdom	UK	UKO5	40110	51.5167	-0.05	-2611557	20250103111500	https://www.theartnewspaper.com/2025/01/03/saudi-arabian-festival-to-feature-taster-james-turrell-show-and-performance-by-manal-aldowayan
1218680482	20150106	201501	2015	2015.0164	GBR	UNITED KINGDOM	GBR								FRA	FRANCE	FRA								0	030	030	03	1	4.0	2	1	2	3.06748466257668	4	Alula, Saudi Arabia (general), Saudi Arabia	SA	SA00	25317	26.6085	37.9232	-3092572	4	Alula, Saudi Arabia (general), Saudi Arabia	SA	SA00	25317	26.6085	37.9232	-3092572	4	Alula, Saudi Arabia (general), Saudi Arabia	SA	SA00	25317	26.6085	37.9232	-3092572	20250103111500	https://www.theartnewspaper.com/2025/01/03/saudi-arabian-festival-to-feature-taster-james-turrell-show-and-performance-by-manal-aldowayan
1218680483	20240104	202401	2024	2024.0110											AUS	NEW SOUTH WALES	AUS								0	042	042	04	1	1.9	10	1	10	-4.63576158940397	0								4	Streaky Bay, South Australia, Australia	AS	AS05	5310	-32.7992	134.212	-1602604	4	Streaky Bay, South Australia, Australia	AS	AS05	5310	-32.7992	134.212	-1602604	20250103111500	https://www.cbsnews.com/news/shark-attack-australia-surfer-missing-feared-dead-granites-bay/
1218680484	20240104	202401	2024	2024.0110											AUS	AUSTRALIAN	AUS								0	190	190	19	4	-10.0	10	1	10	-4.63576158940397	0								4	Streaky Bay, South Australia, Australia	AS	AS05	5310	-32.7992	134.212	-1602604	4	Streaky Bay, South Australia, Australia	AS	AS05	5310	-32.7992	134.212	-1602604	20250103111500	https://www.cbsnews.com/news/shark-attack-australia-surfer-missing-feared-dead-granites-bay/
1218680485	20240104	202401	2024	2024.0110											CVL	TRAVELER						CVL			0	042	042	04	1	1.9	4	1	4	1.84397163120568	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20250103111500	https://www.foxnews.com/food-drink/dry-january-iconic-mocktail-shirley-temple-history-fun-sip
1218680486	20240104	202401	2024	2024.0110											CVL	TRAVELER						CVL			0	042	042	04	1	1.9	1	1	1	1.84397163120568	0								2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	20250103111500	https://www.foxnews.com/food-drink/dry-january-iconic-mocktail-shirley-temple-history-fun-sip
1218680487	20240104	202401	2024	2024.0110											TUR	TURKISH	TUR								1	061	061	06	2	6.4	5	1	5	0.58309037900875	0								4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20250103111500	https://www.dailysabah.com/business/economy/dubai-chocolate-craze-pushes-turkiye-to-seek-syrian-pistachios
1218680488	20240104	202401	2024	2024.0110	AUS	NEW SOUTH WALES	AUS																		0	043	043	04	1	2.8	10	1	10	-4.63576158940397	4	Streaky Bay, South Australia, Australia	AS	AS05	5310	-32.7992	134.212	-1602604	0								4	Streaky Bay, South Australia, Australia	AS	AS05	5310	-32.7992	134.212	-1602604	20250103111500	https://www.cbsnews.com/news/shark-attack-australia-surfer-missing-feared-dead-granites-bay/
1218680489	20240104	202401	2024	2024.0110	CVL	TRAVELER						CVL													0	043	043	04	1	2.8	4	1	4	1.84397163120568	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20250103111500	https://www.foxnews.com/food-drink/dry-january-iconic-mocktail-shirley-temple-history-fun-sip
1218680490	20240104	202401	2024	2024.0110	CVL	TRAVELER						CVL													0	043	043	04	1	2.8	1	1	1	1.84397163120568	2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	0								2	Kentucky, United States	US	USKY		37.669	-84.6514	KY	20250103111500	https://www.foxnews.com/food-drink/dry-january-iconic-mocktail-shirley-temple-history-fun-sip
