1215465115	20231214	202312	2023	2023.9425	GBR	UNITED KINGDOM	GBR																		0	020	020	02	1	3.0	10	1	10	-1.72166427546628	5	County Durham, Durham, United Kingdom	UK	UKD8	40106	54.6667	-1.75	-2594982	0								5	County Durham, Durham, United Kingdom	UK	UKD8	40106	54.6667	-1.75	-2594982	20241213133000	https://www.thenorthernecho.co.uk/news/24792234.st-cuthberts-hospice-durham-mp-pens-letter-government/
1215465116	20231214	202312	2023	2023.9425	GBR	UNITED KINGDOM	GBR																		0	071	071	07	2	7.4	10	1	10	-1.72166427546628	5	County Durham, Durham, United Kingdom	UK	UKD8	40106	54.6667	-1.75	-2594982	0								5	County Durham, Durham, United Kingdom	UK	UKD8	40106	54.6667	-1.75	-2594982	20241213133000	https://www.thenorthernecho.co.uk/news/24792234.st-cuthberts-hospice-durham-mp-pens-letter-government/
1215465117	20231214	202312	2023	2023.9425	GOV	PRINCE						GOV													1	051	051	05	1	3.4	3	1	3	5.8165548098434	4	Comox, British Columbia, Canada	CA	CA02	190729	49.6833	-124.933	-562908	0								4	Comox, British Columbia, Canada	CA	CA02	190729	49.6833	-124.933	-562908	20241213133000	https://www.comoxvalleyrecord.com/entertainment/comox-valley-dancer-leaps-into-role-with-royal-winnipeg-ballet-7705611
1215465118	20231214	202312	2023	2023.9425	GOV	ADMINISTRATION						GOV			MED	LOCAL MEDIA						MED			1	010	010	01	1	0.0	10	1	10	-2.4793388429752	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	2	Michigan, United States	US	USMI		43.3504	-84.5603	MI	20241213133000	https://eturbonews.com/kalamazoo-battle-creek-international-airport-in-michigan-to-close/
1215465119	20231214	202312	2023	2023.9425	LEG	LAWMAKER						LEG													0	071	071	07	2	7.4	10	1	10	0.47086521483225	2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	0								2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	20241213133000	https://www.courant.com/2024/12/13/defense-bill-includes-incremental-funding-for-a-second-submarine/
1215465120	20231214	202312	2023	2023.9425	MOS	ISLAMIC				MOS															0	186	186	18	4	-10.0	10	1	10	-7.95031055900617	1	Iran	IR	IR		32	53	IR	0								1	Iran	IR	IR		32	53	IR	20241213133000	https://patriotpost.us/opinion/112806-irans-surge-of-political-death-sentences-demands-firm-international-response-2024-12-13
1215465121	20241113	202411	2024	2024.8575	ESPJUD	SPAIN	ESP					JUD													1	071	071	07	2	7.4	10	1	10	-5.57377049180328	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	0								4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	20241213133000	https://www.thelocal.es/20241213/spanish-ex-minister-denies-graft-allegations-in-court
1215465122	20241113	202411	2024	2024.8575	ESPJUD	SPAIN	ESP					JUD													1	091	091	09	2	-2.0	10	1	10	-5.57377049180328	4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	0								4	Madrid, Madrid, Spain	SP	SP29	25820	40.4	-3.68333	-390625	20241213133000	https://www.thelocal.es/20241213/spanish-ex-minister-denies-graft-allegations-in-court
1215465123	20241113	202411	2024	2024.8575	GBR	BRITISH	GBR								GBRAGR	UNITED KINGDOM	GBR					AGR			1	141	141	14	3	-6.5	4	1	4	-0.58708414872799	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20241213133000	https://www.euronews.com/my-europe/2024/12/13/not-real-food-or-a-great-british-institution-uk-political-leaders-spar-over-sandwiches
1215465124	20241113	202411	2024	2024.8575	GBRAGR	BRITISH	GBR					AGR			GBR	BRITISH	GBR								1	141	141	14	3	-6.5	6	1	6	-0.58708414872799	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20241213133000	https://www.euronews.com/my-europe/2024/12/13/not-real-food-or-a-great-british-institution-uk-political-leaders-spar-over-sandwiches
